"project_ID","Project Description","Allocations for Gender Equality","Expected Outcomes","Internal DP Activity IDs","Final Project Results","Activity Created By","Activity Created On","Activity updated by","Activity updated on","Date of Signed Agreement","Proposed Completion Date","Proposed Start Date","Implementation Level","Country","District","SubDistrict","Suco","Donor Group","Donor Type","Aid Modality","Appropriation Category (Only for Actual Disbursements)","Type Of Assistance","Executing Agency","Executing Agency Groups","Implementing Agency","Implementing Agency Groups","RDTL Beneficiary Institutions","RDTL Beneficiary Institution Divisions","RDTL Beneficiary Agency Division COA","Strategic Development Plan Pillars","Strategic Development Plan Sub-Pillars","Structures Column"
"87292455921","Custos Administrativos"," "," "," "," ","Portugal User (portugal@amp.org)","18/12/2013","Portugal User (portugal@amp.org)","23/12/2013","","","","National","Timor-Leste"," "," "," ","Portugal","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Portugal","Portugal"," "," "," "," "," "," "," "," "
"87292455924","Custos Administrativos"," "," "," "," ","Portugal User (portugal@amp.org)","18/12/2013","Portugal User (portugal@amp.org)","23/12/2013","","","","National","Timor-Leste"," "," "," ","Portugal","Bilateral"," - Program Support
 - Project Support","Salaries and Wages","Grant","Portugal","Portugal"," "," "," "," "," "," "," "," "
"87292651550","The program will contribute to strengthening collective action among suco councils and building the groundwork for greater suco representation in Timor Leste's future decentralization framework. The program will enhance community representation and involv"," ","Support to suco council representation in district wide inter-agency planning; Enhanced the capacities of district line agency offices in participatory sectoral planning and budgeting; Established offices of the district administrator as a centre of devel","","1. Data collected on current planning tools and procedures, 2. Inter-agency planning team formed, 3. two inter-agency planning team meetings held at national level including participation by five ministries, 4. Inter-sectoral manual drafted.","Ireland User (irishaid@amp.org)","28/02/2012","GS NDAE (gsndae@amp.org)","27/12/2013","12/03/2010","12/03/2011","","District Level","Timor-Leste","Baucau"," "," ","Ireland","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Asia Fondation","International NGO","Asia Fondation","International NGO"," - Ministry of Agriculture and Fisheries
 - Ministry of Education
 - Ministry of Health
 - Ministry of State Administration"," - Ministry of Health - National Directorate Planning and Finance
 - Ministry of State Adminstration - National Directorate to Support Suco Administration"," - 250107
 - 271001"," - ECONOMIC DEVELOPMENT
 - INSTITUTIONAL FRAMEWORK"," - PUBLIC SECTOR MANAGEMENT AND GOOD GOVERNANCE
 - RURAL DEVELOPMENT"," "
"87292651541","The development of a conflict early warning system covering all 13 districts in Timor-Leste"," ","Strengthening of preparedness for conflict at state and civil society level by provision of early warning of emerging points of tension and provision of policy recommendations to state institutions and international actors aimed at reducing the likelihood","","A number of Early Warning Early Response) reports in English and Tetun have been published and distributed. Four trimester reports and four issue based policy briefs have been circulated and have had a bearing on national policy.","Ireland User (irishaid@amp.org)","21/02/2012","GS NDAE (gsndae@amp.org)","27/12/2013","","10/06/2011","","National","Timor-Leste"," "," "," ","Ireland","Bilateral","Program Support","Appropriation Category Unallocated","Grant","Belun","Domestic NGO","Centre for International Conflict Resolution","International NGO","Ministry of Social Solidarity","Ministry of Social Solidarity - National Directorate of Social Re-integration","290802","SOCIAL CAPITAL","SOCIAL INCLUSION"," "
"87292191406"," "," ","National Instutions can conduct free and fair elections",""," ","AMP Project Manager (atl@amp.org)","22/09/2011","GS NDAE (gsndae@amp.org)","27/12/2013","","","","National","Timor-Leste"," "," "," ","Ireland","Bilateral","Project Support","Appropriation Category Unallocated","Grant"," "," "," "," ","National Election Commission","National Election Commission - National Electoral Commission Division","540101","SOCIAL CAPITAL"," - EDUCATION AND TRAINING
 - SOCIAL INCLUSION"," "
"87292651544","To end violence at the individual, family and institutional levels and thus build a movement that empowers women in all aspects of life through integrated assistance that gives both women and men awareness, understanding and the capacity to end injustice "," ","Increased capacity of staff working at shelters for victims of domestic violence; increased awareness at community level of domestic violence; improved services and assistance for women victims of domestic violence","","Two temporary shelters for victims of gender based violence were opened in the districts. Fokupers received 83 victims of violence in the first half of 2011. 28 were referred to the Vulnerable Police Unit, 8 cases were registered and processed in the Publ","Ireland User (irishaid@amp.org)","24/02/2012","GS NDAE (gsndae@amp.org)","27/12/2013","29/10/2010","","","District Level","Timor-Leste"," - Bobonaro
 - Cova Lima
 - Ermera
 - Liquica"," "," ","Ireland","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Fokupers","Domestic NGO","Fokupers","Domestic NGO"," - Ministry of Health
 - Ministry of Justice
 - Ministry of Social Solidarity","Ministry of Social Solidarity - National Directorate of Social Re-integration","290802","SOCIAL CAPITAL","SOCIAL INCLUSION"," "
"87292651545","The goal of Luzeiro is to establish effective and efficient provision of assistance to victims by setting up a Rede Referal which will provide training to members of the Rede Referral and to Council of villages and local leaders on Rede Referral guideline"," ","Regular monthly meeting between the members to discuss issues and up- date cases that occur in Lautem district; At least one trainer from each member organisations has capacity on various subject after receiving training and undertaking study comparative;","","Support provided to victims of domestic violence; Referral network funtional and effective; members of the referral network have an understanding of how to assist victims of violence; suco council members are aware of the rede referral and how it function","Ireland User (irishaid@amp.org)","27/02/2012","GS NDAE (gsndae@amp.org)","27/12/2013","12/11/2010","","","District Level","Timor-Leste","Lautem"," "," ","Ireland","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Luzeiro","Domestic NGO","Luzeiro","Domestic NGO","Officer of the Vice Prime Minister, Coordinator of Social Affairs - Secretary State for the Promotion of Equality","Secretariat of State for the Promotion of Equality - National Directorate for Gender Policy Development ","110104","SOCIAL CAPITAL"," - EDUCATION AND TRAINING
 - SOCIAL INCLUSION"," "
"87292651794","The objective is to establish advocacy networking to influence public institutions to guarantee transparency and accountability of state budget allocations. The networking also will become a forum for all the members to share information and to strengthen"," ","Community has information on state budget allocation (PDL,PDD1,PDD2) in their home district and together with district networking, they advocate for their rights and actively participate in development processes in their home district."," ","Community has information on state budget allocation (PDL,PDD1,PDD2) in their home district and together with district networking, they advocate for their rights and actively participate in development processes in their home district","Ireland User (irishaid@amp.org)","27/04/2012","GS NDAE (gsndae@amp.org)","27/12/2013","","","23/12/2011","District Level","Timor-Leste"," - Aileu
 - Baucau
 - Liquica
 - Oecussi"," "," ","Ireland","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Irish Aid","Ireland","Core Group Transparency","Domestic NGO","Ministry of State Administration","Office fo the Director General","270501","SOCIAL CAPITAL"," - EDUCATION AND TRAINING
 - SOCIAL INCLUSION"," "
"87292651547","This project aims to strengthen civil society and district development networking capacities to i) identify and prioritize local development needs; ii) to participate actively in planning and budgeting at the local level and obtain central government plan"," ","Civil society organisation and district development networks protect and advocate the interests of the poor and vulnerable; Citizens engage actively and effectively n demanding good local governance.","","Three international development workers with specialist skills in good governance, advocacy, organisational and network development and M&E were recruited and are now working in three districs with FONGTIL District Liaison Officers to develop training cou","Ireland User (irishaid@amp.org)","27/02/2012","GS NDAE (gsndae@amp.org)","27/12/2013","25/11/2010","","","District Level","Timor-Leste"," - Baucau
 - Bobonaro
 - Ermera
 - Lautem
 - Liquica
 - Oecussi","Maliana"," ","Ireland","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Progressio","Domestic NGO","Progressio","Domestic NGO","Ministry of State Administration","Ministry of State Administration - National Directorate of Local Government Administration","271101","SOCIAL CAPITAL","SOCIAL INCLUSION"," "
"87292455976"," "," "," "," "," ","Portugal User (portugal@amp.org)","27/12/2013","Portugal User (portugal@amp.org)","27/12/2013","","","","National","Timor-Leste"," "," "," ","Portugal","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Portugal","Portugal"," "," "," "," "," ","INSTITUTIONAL FRAMEWORK"," "," "
"87292495977"," ","Neutral"," ",""," ","Korea User (koica@amp.org)","02/01/2014","Korea User (koica@amp.org)","07/01/2014","01/02/2008","30/11/2008","01/05/2008","District Level","Timor-Leste","Dili"," "," ","Korea","Bilateral"," ","Appropriation Category Unallocated"," "," "," "," "," "," "," "," "," - INFRASTRUCTURE DEVELOPMENT
 - SOCIAL CAPITAL"," - EDUCATION AND TRAINING
 - WATER AND SANITATION"," "
"87292643988","Improving Livelihoods through sustainable use of ABD"," ","Strengthening Public Agricultural Extension Services","","Protection and use of ABD improved, Innovative ABD approaches introduced in Cocoa production","Germany User (giz@amp.org)","11/02/2013","Germany User (giz@amp.org)","07/01/2014","","","","District Level","Timor-Leste"," - Baucau
 - Bobonaro
 - Lautem
 - Manatuto
 - Oecussi
 - Viqueque"," "," ","European Commission","Multilateral","Project Support"," - Appropriation Category Unallocated
 - Goods or Services
 - Minor Capital
 - Salaries and Wages","Grant","Deutsche Gesellschaft für Internationale Zusammenarbeit","Germany","Deutsche Gesellschaft für Internationale Zusammenarbeit","Germany","Ministry of Agriculture and Fisheries","Ministry Agriculture & Fisheries - National Directorat of Plants Industry for agro-come","321301","ECONOMIC DEVELOPMENT"," "," "
"87292671710","The project aims to recognize the areas where the assistance and development is needed within the communities; to improve the organizational skills of the communities and provide appropriate training, for instance, in crops and horticultural diversificati"," ","To increase income of farmer households through improved and sustainable farming practices, to enhance farmers' knowledge and skills in organizational management and in utilizing sustainable crops and livestock production through field-based experiential ",""," ","Finland User (finland@amp.org)","22/03/2012","Finland User (finland@amp.org)","07/01/2014","10/01/2010","","","District Level","Timor-Leste","Ainaro"," "," ","Finland","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Fohade","Domestic NGO","Fohade","Domestic NGO","Ministry of Agriculture and Fisheries","Ministry Agriculture & Fisheries - National Directorate for the Support of Agriculture Community Development","321801"," - ECONOMIC DEVELOPMENT
 - SOCIAL CAPITAL"," - AGRICULTURE
 - EDUCATION AND TRAINING"," "
"87292671709","The project aims to continue Fokupers' work in the field of Gender-Based Violence (GBV) by providing assistance for the victims of GBV, including domestic violence, sexual assaults, incest, forced marriages and abandonment of families. Fokupers runs, for "," ","To provide assistance and empowerment for victims of domestic violence. To conduct awareness raising consciousness and empowering women and their families in terms of economy, health and education. To build advocacy network for women's rights, needs and i",""," ","Finland User (finland@amp.org)","22/03/2012","Finland User (finland@amp.org)","07/01/2014","10/01/2010","","","District Level","Timor-Leste","Dili"," "," ","Finland","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Fokupers","Domestic NGO","Fokupers","Domestic NGO","Officer of the Vice Prime Minister, Coordinator of Social Affairs - Secretary State for the Promotion of Equality","Secretariat of State for the Promotion of Equality - National Directorate for Gender Policy Development ","110104"," - INSTITUTIONAL FRAMEWORK
 - SOCIAL CAPITAL"," - EDUCATION AND TRAINING
 - JUSTICE
 - SOCIAL INCLUSION"," "
"87292671717","The ECCD Programme focuses on the range of needs of young children including nutrition, psycho-social stimulation and early education starting at home focusing on the 0-3 year old boys and girls and delivered in community-managed playgroups for the age gr"," ","The aim is to enhance parents, other caregivers and community members understanding of the importance of early years and adopt positive parenting and child care practices. To establish appropriate parenting education service and play group services for 3-","","31 Child-Friendly Spaces (22 in Aileu, 9 in Lautem) for boys and girls age 3-6 years old to play and interact completed. 10 preschool teachers trained in pedagogy, classroom management, learning assessment & evaluation and teacher mentoring. 74 playgroup ","Finland User (finland@amp.org)","22/03/2012","Finland User (finland@amp.org)","07/01/2014","01/01/2009","","","District Level","Timor-Leste"," - Aileu
 - Lautem"," "," ","Finland","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Plan Finland","International NGO","Plan Timor-Leste","Domestic NGO","Ministry of Education","Ministry of Education - Direcção Nacional de Educacao Pre-Escolar","260416","SOCIAL CAPITAL","EDUCATION AND TRAINING"," "
"87292671718","The aim is to strengthen the ability of target vulnerable communities in two rural districts, to prevent and manage injuries and common health problems in emergency and non-emergency situations. To enhance capacity of CVTL to implement community-based hea"," ","Improved health status in target communities due to improved knowledge and health practices in target communities. The health promotion and disease prevention priorities focus on malaria, diarrhea, ARI, TB, nutrition, first aid skills, and include trainin","","Educated health care and first aid volunteers do preventing heath care work in their communities by organizing trainings and visiting families in vulnerable position. The availability of mosquito nets has been improved and more families have access to the","Finland User (finland@amp.org)","22/03/2012","Finland User (finland@amp.org)","07/01/2014","01/01/2009","","","District Level","Timor-Leste"," - Manatuto
 - Manufahi"," "," ","Finland","Bilateral","Project Support","Appropriation Category Unallocated","Grant","• International Federation of Red Cross and Red Crescent Societies","International NGO","CVTL","Domestic NGO","Ministry of Health","Ministry of Health - National Directorate Community Health","250108","SOCIAL CAPITAL","HEALTH"," "
"87292495998"," ","Neutral"," "," "," ","Korea User (koica@amp.org)","08/01/2014","Korea User (koica@amp.org)","08/01/2014","","30/04/2003","","National","Timor-Leste"," "," "," "," "," "," "," "," ","Korean International Cooperation Agency","Korea"," "," "," "," "," "," "," "," "
"87292191147","The objective of the Education Sector Support Program for Timor-Leste is to strengthen the capacity of the Ministry for effective policy development, resource management, and innovation. Component one: capacity building for policy, planning and program de"," ","To strengthen the Capacity of Ministry of Education in effective policy development, resource management, and innovation. The project consists of the following parts: (a) capacity building for policy, planning and program development, (b) provision of lea"," ","Since 2008: * Tested selected grade three students' reading, writing and mathematics skills to help the Government of Timor-Leste understand and address weaknesses in teaching and learning quality. * Helped the Government of Timor-Leste build or repair ab","AMP Project Manager (atl@amp.org)","24/07/2011","World Bank User (wb@amp.org)","16/01/2014","17/09/2007","","","Both","Timor-Leste"," - Aileu
 - Ainaro
 - Baucau
 - Bobonaro
 - Cova Lima
 - Dili
 - Ermera
 - Lautem
 - Liquica
 - Manatuto
 - Manufahi
 - Oecussi
 - Viqueque"," "," "," - Australia
 - World Bank Group"," - Bilateral
 - Multilateral"," - Program Support
 - Project Support"," - Appropriation Category Unallocated
 - Capital Development","Grant","World Bank","World Bank Group","World Bank","World Bank Group","Ministry of Education"," - Ministry of Education - Direcção Nacional do Curriculo e avaliacao Escolar
 - Ministry of Education - Direcção Nacional do Ensino Basico
 - Ministry of Education - National Directorate of Policy, Planning and Development"," - 260408
 - 260415
 - 260417","SOCIAL CAPITAL","EDUCATION AND TRAINING"," "
"87292374526"," ","Indirectly Supportive","The development objective of the Management Strengthening Project for Timor-Leste is to support the implementation of the National Education Strategic Plan (NESP) through strengthening the capacity and systems of the Ministry of Education (MoE).","","There are 2 components to the project:   (1) strengthening targeted management directorates: strengthening senior management capacity in terms of sector leadership, coordination, and oversight functions; strengthen the development of training capacity of ","World Bank User (wb@amp.org)","18/06/2013","World Bank User (wb@amp.org)","16/01/2014","15/06/2012","31/07/2015","","National","Timor-Leste"," "," "," ","Australia","Bilateral","Project Support","Appropriation Category Unallocated","Grant","World Bank","World Bank Group","Ministry of Education","RDTL Line Ministry","Ministry of Education","Ministry of Education - Director General Corporate Services","260404","SOCIAL CAPITAL","EDUCATION AND TRAINING"," "
"87292371694","The objectives to improve program management of MIS to implement core cash transfer program in an efficient, reliable and transparent manner through standardizing information management and strengthening program implementation and management capacity."," ","The outcomes of the project is to: 1) support to MIS development and service delivery innovation and 2) capacity building, training and policy support.",""," ","World Bank User (wb@amp.org)","21/03/2012","World Bank User (wb@amp.org)","16/01/2014","31/10/2011","","","Both","Timor-Leste"," - Aileu
 - Ainaro
 - Baucau
 - Bobonaro
 - Cova Lima
 - Dili
 - Ermera
 - Lautem
 - Liquica
 - Manatuto
 - Manufahi
 - Oecussi
 - Viqueque"," "," "," - Australia
 - Norway
 - Russia","Bilateral","Project Support","Appropriation Category Unallocated","Grant","World Bank","World Bank Group","Ministry of Social Solidarity","RDTL Line Ministry","Ministry of Social Solidarity","Ministry of Social Solidarity - National Directorate of Social Re-integration","290802","SOCIAL CAPITAL","SOCIAL INCLUSION"," "
"87292371438","The development objectives of this Second Chance Education Project are: 1) to increase the number of out-of-school youth and young adults who complete recognized equivalency programs; and 2) to decrease number and/or rate of leavers from each program and "," ","The development objectives of this Second Chance Education Project are: 1) to increase the number of out-of-school youth and young adults who complete recognized equivalency programs; and 2) to decrease number and/or rate of leavers from each program and "," ","Ratio of students who pass equivalence level II subject phases compared to total sitting for exams. Number of functional comminity learning centers. Numbers of students who complete DNEAENF equivalency programs. Ratio of annual equivalncey program complet","World Bank User (wb@amp.org)","21/10/2011","World Bank User (wb@amp.org)","16/01/2014","04/07/2011","","","Both","Timor-Leste"," - Aileu
 - Ainaro
 - Baucau
 - Bobonaro
 - Cova Lima
 - Dili
 - Ermera
 - Lautem
 - Liquica
 - Manatuto
 - Manufahi
 - Oecussi
 - Viqueque"," "," ","World Bank Group","Multilateral","Project Support","Appropriation Category Unallocated","Grant","World Bank","World Bank Group","Ministry of Education","RDTL Line Ministry","Ministry of Education","Ministry of Education - Direcção Nacional do Ensino Secundario Tecnico Vocacional","260419","SOCIAL CAPITAL","EDUCATION AND TRAINING"," "
"87292371460","The objective of the Road Climate Resilience Project for Timor Leste is to deliver climate resilient road infrastructure to the beneficiary communities on key road links and facilitate emergency responses to tackle natural disasters."," ","The outcomes of the project is to achieve the activities based on project components. The first component of the project is climate resilient road infrastructure. This component will invest in the key road infrastructure on the Dili-Ainaro corridor to imp","","Improvement in road condition in the Dili-ainaro corridor measured by reduced road roughness. Number of linear kilometers of road sections with new or imported drainage on the Dili-Ainaro corridor. Number of locations with improved slope protection on the","World Bank User (wb@amp.org)","22/10/2011","World Bank User (wb@amp.org)","16/01/2014","06/07/2011","31/12/2018","","District Level","Timor-Leste"," - Aileu
 - Ainaro
 - Dili"," - Liquidoe
 - Vera Cruz"," ","World Bank Group","Multilateral","Project Support"," - Appropriation Category Unallocated
 - Capital Development"," - Grant
 - Loan","World Bank","World Bank Group","Ministry of Public Works","RDTL Line Ministry","Ministry of Public Works","Ministry of Public Works - National Directorate of Roads, Bridges and Floods Control Services","300605","INFRASTRUCTURE DEVELOPMENT","ROADS AND BRIDGES"," - Aileu
 - Dili"
"87292495983","1. Bank of livestock : Support money to buy livestock and livestock education   2. Support the farming : Operation of a model farm and agriculture education   3. education business : Teacher empowerment training, construct libraries   4. Resident organiza","Indirectly Supportive","1. Ensuring food security and growth household income 2. Improvement of the quality of education and educational environment 3. Prepare independence through empowering residents",""," ","Korea User (koica@amp.org)","07/01/2014","Korea User (koica@amp.org)","17/01/2014","","","","District Level","Timor-Leste"," - Baucau
 - Lautem","Lospalos"," ","Korea","Bilateral","Project Support","Goods or Services","Grant","Korean International Cooperation Agency","Korea","Global Civic Sharing","Korea"," "," "," "," "," "," "
"87292491640","Supporting Korean NGO Program"," ","Objectives> a) Provide sustainable energy to targeted area b) Build capacity to maintain the facilities and to communicate within villages","","1) Community formation 2) offering solar power systems","Korea User (koica@amp.org)","07/03/2012","Korea User (koica@amp.org)","17/01/2014","09/02/2011","09/02/2014","15/02/2013","District Level","Timor-Leste","Manufahi"," "," ","Korea","Bilateral","Project Support","Goods or Services","Grant","Korean International Cooperation Agency","Korea","YMCA","Korea","Ministry of Public Works","Ministry of Public Works - National Directorate for the Coordination of Energy Renewal Activities ","70104"," - INFRASTRUCTURE DEVELOPMENT
 - SOCIAL CAPITAL"," - EDUCATION AND TRAINING
 - ELECTRICITY"," "
"87292191395","Support to the Maritime Transport Sector"," ","As a key precondition for economic development, an efficient maritime transport sector links up the ports of the Democratic Republic of Timor-Leste with other destination ports outside the country.","","Regular ferry service between Dili, Oecussi and Atauro","AMP Project Manager (atl@amp.org)","22/09/2011","Germany User (giz@amp.org)","20/01/2014","05/02/2005","","01/04/2006","District Level","Timor-Leste"," - Dili
 - Oecussi"," "," ","Germany","Bilateral","Project Support"," - Appropriation Category Unallocated
 - Goods or Services
 - Minor Capital
 - Salaries and Wages","Grant","Deutsche Gesellschaft für Internationale Zusammenarbeit","Germany","Deutsche Gesellschaft für Internationale Zusammenarbeit","Germany","Ministry of Transportation and Communication","Ministry of Transport and Communications - National Directorate of Maritime Transport","310402","INFRASTRUCTURE DEVELOPMENT","SEA PORTS"," "
"87292495989","o Constructing colleting wells and water tanks   o Providing public water supply plant   o Systemizing residents who manage waterworks   o Providing technical education for residents who manage waterworks   o Conducting Community Action Plan(CAP), the wat","Indirectly Supportive","o Achieving 100% rate of safe water supply in the Acumano elementary school and residential area o Strengthening of residents abilities for sustainable facility management o Changing patterns of behavior and improving hygiene awareness of elementary schoo",""," ","Korea User (koica@amp.org)","07/01/2014","Korea User (koica@amp.org)","21/01/2014","","31/12/2012","01/01/2012","District Level","Timor-Leste","Liquica","Liquica"," ","Korea","Bilateral","Project Support","Goods or Services","Grant","Korean International Cooperation Agency","Korea"," "," "," "," "," ","INFRASTRUCTURE DEVELOPMENT","WATER AND SANITATION","Acumano"
"87292491510","Supporting Korean NGO Program"," ","Objectives> a) Build capacity in agriculture techniques b) Increase income in targeted area c) Increase accessibility to education activities(biblioteka)","","1) A library 2) Community formation 3) Incresing income 4) Improvement of the method of raising livestock","Korea User (koica@amp.org)","18/11/2011","Korea User (koica@amp.org)","21/01/2014","26/07/2010","31/12/2010","01/01/2010","District Level","Timor-Leste","Lautem"," "," ","Korea","Bilateral","Project Support"," - Appropriation Category Unallocated
 - Goods or Services","Grant","Global Civic Sharing","Korea","Korean International Cooperation Agency","Korea"," - Ministry of Agriculture and Fisheries
 - Ministry of Education","Ministry Agriculture & Fisheries - National Directorate of Agriculture and Horticulture","321201"," - ECONOMIC DEVELOPMENT
 - SOCIAL CAPITAL"," - AGRICULTURE
 - EDUCATION AND TRAINING"," "
"87292491635","Supporting Korean NGO Program"," ","Objectives> a) Build capacity in agriculture techniques b) Increase income in targeted area c) Increase accessibility to education activities(biblioteka)","","1) A library 2) Community formation 3) Incresing income 4) Improvement of the method of raising livestock","Korea User (koica@amp.org)","07/03/2012","Korea User (koica@amp.org)","21/01/2014","09/02/2011","15/02/2012","15/02/2011","District Level","Timor-Leste","Lautem"," "," ","Korea","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Global Civic Sharing","Korea","Korean International Cooperation Agency","Korea","Ministry of Agriculture and Fisheries"," - Ministry  Agriculture & Fisheries - Directorate Agricultural Services in the District of Lautem
 - Ministry of Education - Servicos Distritais de Educacao de Lautem"," - 260429
 - 321908"," - ECONOMIC DEVELOPMENT
 - SOCIAL CAPITAL"," - AGRICULTURE
 - EDUCATION AND TRAINING"," "
"87292496025","capacity building of Development Competency","Neutral","Sending Timorese to Korea and Training Getting expierince from Korea Sharing Knowledge and making community with paticipants from other contries","","Participants got knowledge made community among those who took part in training in Korea","Korea User (koica@amp.org)","21/01/2014","Korea User (koica@amp.org)","21/01/2014","","","13/08/2013","National","Timor-Leste"," "," "," ","Korea","Bilateral"," ","Appropriation Category Unallocated"," "," "," ","Korean International Cooperation Agency","Korea"," "," "," "," - ECONOMIC DEVELOPMENT
 - SOCIAL CAPITAL"," - EDUCATION AND TRAINING
 - PRIVATE SECTOR INVESTMENT"," "
"87292496026","Sending Timorese to Korea and Training Getting expierince from Korea sharing Knowledge and making community with paticipants from other contries","Neutral","capacity building for Development Cooperation Policy for Asian and European Countries","","Participants got knowledge made community among those who took part in training in Korea","Korea User (koica@amp.org)","21/01/2014","Korea User (koica@amp.org)","21/01/2014","","01/10/2013","22/09/2013","National","Timor-Leste"," "," "," ","Korea","Bilateral"," ","Appropriation Category Unallocated"," "," "," "," "," "," "," "," ","SOCIAL CAPITAL","EDUCATION AND TRAINING"," "
"87292496030","Sending Timorese to Korea and Training Getting expierince from Korea Sharing Knowledge and making community with paticipants from other contries","Neutral","capacity building for Forensic Science","","Participants got knowledge made community among those who took part in training in Korea","Korea User (koica@amp.org)","21/01/2014","Korea User (koica@amp.org)","21/01/2014","","01/05/2013","11/04/2013","National","Timor-Leste"," "," "," ","Korea","Bilateral"," ","Appropriation Category Unallocated"," ","Korean International Cooperation Agency","Korea"," "," "," "," "," "," - INSTITUTIONAL FRAMEWORK
 - SOCIAL CAPITAL"," - EDUCATION AND TRAINING
 - JUSTICE"," "
"87292371752"," "," "," "," "," ","World Bank User (wb@amp.org)","27/03/2012","World Bank User (wb@amp.org)","21/01/2014","21/09/2011","","","District Level","Timor-Leste","Dili"," "," ","World Bank Group","Multilateral","Project Support"," - Appropriation Category Unallocated
 - Salaries and Wages","Grant","World Bank","World Bank Group","World Bank","World Bank Group","Ministry of Agriculture and Fisheries","Ministry Agriculture & Fisheries - National Directorate of Agriculture and Horticulture","321201","ECONOMIC DEVELOPMENT","AGRICULTURE"," "
"87292371755"," "," ","The objective of the Bank Technical Assistance is to assist the MSS in implementing its core cash transfer programs in anefficient, reliable and transparent matter. In particular, technical assistance will be provided to:(a) Support the design andestablis"," "," ","World Bank User (wb@amp.org)","27/03/2012","World Bank User (wb@amp.org)","21/01/2014","18/12/2011","","","District Level","Timor-Leste","Dili"," "," ","World Bank Group","Multilateral","Project Support","Appropriation Category Unallocated","Grant","World Bank","World Bank Group","World Bank","World Bank Group","Ministry of Social Solidarity","Ministry of Social Solidarity - National Directorate of Social Re-integration","290802"," - INSTITUTIONAL FRAMEWORK
 - SOCIAL CAPITAL"," - PUBLIC SECTOR MANAGEMENT AND GOOD GOVERNANCE
 - SOCIAL INCLUSION"," "
"87292371754","This task outlines a program of analytical and technical assistance activities in Timor-Leste related to its major socialprotection programs, labor markets and pensions legislation:1) Assessment of performance of main cash-transfer programs (Report)- This"," ","The main objective of the analysis is to 1) Inform the Government agencies about social programs effectiveness, service delivery and whether the current mix of programs is appropriate in light of the main vulnerabilities in the population. These questions",""," ","World Bank User (wb@amp.org)","27/03/2012","World Bank User (wb@amp.org)","21/01/2014","27/02/2012","","","District Level","Timor-Leste","Dili"," "," ","World Bank Group","Multilateral","Project Support","Salaries and Wages","Grant","World Bank","World Bank Group","World Bank","World Bank Group","Ministry of Social Solidarity","Ministry of Social Solidarity - National Directorate of Social Re-integration","290802"," - INSTITUTIONAL FRAMEWORK
 - SOCIAL CAPITAL"," - PUBLIC SECTOR MANAGEMENT AND GOOD GOVERNANCE
 - SOCIAL INCLUSION"," "
"87292374712","The Government of Timor-Leste has sharply increased infrastructure spending in recent years to boost economic growth, improve service delivery and reduce poverty. The World Bank and the government will together undertake a Public Expenditure Review of spe"," ","ESW - Economic and Sector Work The development objective is to help improve the quality of public spending on infrastructure. The analysis proposed to be conducted will review overall budgetary expenditure trends, and aim to assess the effectiveness of pu",""," ","World Bank User (wb@amp.org)","30/07/2013","World Bank User (wb@amp.org)","21/01/2014","02/11/2012","","","National","Timor-Leste"," "," "," ","World Bank Group","Multilateral","Project Support","Appropriation Category Unallocated","Grant","World Bank","World Bank Group"," "," ","Ministry of Finance","Ministry of Finance - National Directorate of Customs","220603"," - INFRASTRUCTURE DEVELOPMENT
 - INSTITUTIONAL FRAMEWORK"," - ELECTRICITY
 - PUBLIC SECTOR MANAGEMENT AND GOOD GOVERNANCE
 - ROADS AND BRIDGES
 - WATER AND SANITATION"," "
"87292496028","Sending Timorese to Korea and Training Getting expierince from Korea Sharing Knowledge and making community with paticipants from other contries","Neutral","capacity building for Technology and Policy","","Participants got knowledge made community among those who took part in training in Korea","Korea User (koica@amp.org)","21/01/2014","Korea User (koica@amp.org)","21/01/2014","","31/08/2013","15/08/2013","National","Timor-Leste"," "," "," ","Korea","Bilateral"," ","Appropriation Category Unallocated"," "," "," ","Korean International Cooperation Agency","Korea"," "," "," "," - INSTITUTIONAL FRAMEWORK
 - SOCIAL CAPITAL"," - EDUCATION AND TRAINING
 - PUBLIC SECTOR MANAGEMENT AND GOOD GOVERNANCE"," "
"87292496040","Sending Timorese to Korea and Training Getting expierince from Korea    Sharing Knowledge and making community with paticipants from other contries","Neutral","Capacity building in Agriculture and Rural Development transfer","","Participants got knowledge    Made community among those who took part in training in Korea","Korea User (koica@amp.org)","21/01/2014","Korea User (koica@amp.org)","21/01/2014","","29/09/2014","28/07/2013","National","Timor-Leste"," "," "," ","Korea","Bilateral"," ","Appropriation Category Unallocated"," ","Korean International Cooperation Agency","Korea"," "," "," "," "," "," - ECONOMIC DEVELOPMENT
 - SOCIAL CAPITAL"," - AGRICULTURE
 - EDUCATION AND TRAINING"," "
